"id_object","object","city","loc_district","class","developer","date_sold","type_lot","floor","do_square","est_budget","price_square_r","interior","bt_name","ipoteka","bank_name","ipoteka_month","_etl_loaded_at"
"657f63e930fe997bbb51f758ed370fb0",Кутузовский,Новороссийск,Новороссийск м.о.,Комфорт,МПМК Краснодарская-1,2026-01-05,квартира,6,47.58,6526643.00,137172.00,Без отделки,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"60cc5097d90214abba1f37a69a60142b",Greenmont / Нескучный сад,Сочи,Сочи г.о.,Бизнес,Неометрия,2026-01-06,апартаменты,4,28.60,33965648.00,1187610.07,Отделка как доп. опция,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
fc98c3a43cd1680c1cb66c1523d44f4a,Дзенпарк,Марьянская ст.,Красноармейский м.о.,Комфорт,Средастрой,2026-01-08,квартира,2,36.80,3312000.00,90000.00,"Под чистовую, отделка как доп. опция",ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"657f63e930fe997bbb51f758ed370fb0",Кутузовский,Новороссийск,Новороссийск м.о.,Комфорт,МПМК Краснодарская-1,2026-01-08,квартира,12,47.58,7137000.00,150000.00,Без отделки,ФЛ,Ипотека,ПАО Сбербанк России,360,2026-06-18 11:12:27.291 +0300
"2be7f950954f9f0b079ca01c72d39a42",Морская Горгиппия,Анапа,Анапа м.о.,Эконом,ОБД-Инвест,2026-01-10,нежилое помещение,0,15.04,970952.00,64558.00,,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"2be7f950954f9f0b079ca01c72d39a42",Морская Горгиппия,Анапа,Анапа м.о.,Эконом,ОБД-Инвест,2026-01-10,нежилое помещение,0,18.51,0.00,0.00,Под чистовую,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"2be7f950954f9f0b079ca01c72d39a42",Морская Горгиппия,Анапа,Анапа м.о.,Эконом,ОБД-Инвест,2026-01-10,нежилое помещение,0,19.51,1259526.00,64558.00,,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"77436a7722b713cff3de7d8e1397b4c2",Светский лес,Сочи,Сочи г.о.,Бизнес,Точно,2026-01-11,квартира,9,43.01,19999650.00,465000.00,Без отделки,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
c7ebf6132ce593a70b723fce0eade8ec,Посейдон (Новороссийск),Новороссийск,Новороссийск м.о.,Комфорт,Черное море,2026-01-12,квартира,11,61.80,0.00,0.00,Без отделки,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"2be7f950954f9f0b079ca01c72d39a42",Морская Горгиппия,Анапа,Анапа м.о.,Эконом,ОБД-Инвест,2026-01-12,квартира,9,56.39,8720000.00,154637.00,Под чистовую,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
d21921fe8bb3cacb784b2f956744d149,Золотой Берег,Новороссийск,Новороссийск м.о.,Бизнес,Средастрой,2026-01-12,квартира,14,91.42,17918320.00,196000.00,"Под чистовую, отделка как доп. опция",ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"8ed0e7591eaa0574bd43b67f71525cee",Royal Beach Sochi,Сочи,Сочи г.о.,Премиум,Еврострой,2026-01-12,апартаменты,6,146.06,81793600.00,560000.00,Без отделки,ЮЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"3b768d7a3423d87ca2500e86b3aa26e8",Мореград,Анапа,Анапа м.о.,Комфорт,ССК,2026-01-12,апартаменты,9,24.50,9065000.00,370000.00,С отделкой и мебелью,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"9648a6234501850e715607d4d244b13a",Botanica Hills,Небуг с.,Туапсинский м.о.,Комфорт,Метрикс Develoрment,2026-01-12,квартира,2,18.06,5870000.00,325027.69,"Под чистовую, отделка как доп. опция",ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"9648a6234501850e715607d4d244b13a",Botanica Hills,Небуг с.,Туапсинский м.о.,Комфорт,Метрикс Develoрment,2026-01-12,квартира,2,18.05,5867000.00,325041.55,"Под чистовую, отделка как доп. опция",ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
e5e61a34deb4e2a00a451c3583de406d,Поляна Пик,Красная поляна пгт,Сочи г.о.,Элитный,МЕТРОПОЛИС,2026-01-13,апартаменты,2,56.50,73450000.00,1300000.00,С отделкой и мебелью,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"9648a6234501850e715607d4d244b13a",Botanica Hills,Небуг с.,Туапсинский м.о.,Комфорт,Метрикс Develoрment,2026-01-13,квартира,2,17.21,5851400.00,340000.00,"Под чистовую, отделка как доп. опция",ФЛ,Ипотека,АО Альфа-Банк,312,2026-06-18 11:12:27.291 +0300
fc98c3a43cd1680c1cb66c1523d44f4a,Дзенпарк,Марьянская ст.,Красноармейский м.о.,Комфорт,Средастрой,2026-01-13,квартира,2,22.80,2280000.00,100000.00,"Под чистовую, отделка как доп. опция",ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
de2aa2f5a366bc2350a3e192512ea3e6,Цветной бульвар,Северская ст-ца,Северский м.о.,Комфорт,Точно,2026-01-13,квартира,5,37.44,4305600.00,115000.00,"Под чистовую, отделка как доп. опция",ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"5338417a484eca51d14d28b59e51946f",История-3,Южный п.,Динской м.о.,Комфорт,НВМ,2026-01-14,квартира,3,50.88,8395200.00,165000.00,Под чистовую,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"5338417a484eca51d14d28b59e51946f",История-3,Южный п.,Динской м.о.,Комфорт,НВМ,2026-01-14,квартира,5,51.14,8438100.00,165000.00,Под чистовую,ФЛ,Ипотека,АО Альфа-Банк,0,2026-06-18 11:12:27.291 +0300
bcbe2f39504cb084713ca0f161f31273,Кумир,Армавир,Армавир г.о.,Комфорт,АРТ ГРУПП,2026-01-14,квартира,7,44.73,6085000.00,136038.45,С отделкой,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"45131c4ef8b37326fa1ad3d957bf531d",Усадьба Гостагаевская,Нижняя Гостагайка х.,Анапа м.о.,Бизнес-,ССК,2026-01-14,квартира,2,32.21,6764100.00,210000.00,Под чистовую и отделка как доп. опция,ФЛ,Ипотека,ПАО Совкомбанк,0,2026-06-18 11:12:27.291 +0300
"657f63e930fe997bbb51f758ed370fb0",Кутузовский,Новороссийск,Новороссийск м.о.,Комфорт,МПМК Краснодарская-1,2026-01-14,квартира,3,43.61,6411324.00,147015.00,Без отделки,ФЛ,Ипотека,ПАО Сбербанк России,360,2026-06-18 11:12:27.291 +0300
"657f63e930fe997bbb51f758ed370fb0",Кутузовский,Новороссийск,Новороссийск м.о.,Комфорт,МПМК Краснодарская-1,2026-01-14,квартира,10,40.51,6411324.00,147015.00,Без отделки,ФЛ,Ипотека,ПАО Сбербанк России,240,2026-06-18 11:12:27.291 +0300
"4808dce0ca7c80371054378e1592e294",Marine Garden Sochi 4*,Сочи,Сочи г.о.,Бизнес,Еврострой,2026-01-14,апартаменты,8,26.05,25268500.00,970000.00,С отделкой и мебелью,ФЛ,Ипотека,ПАО Сбербанк России,323,2026-06-18 11:12:27.291 +0300
a9a38adecaa6e2869a522a0d8169ab8b,Флорa,Сочи,Сочи г.о.,Комфорт,Неометрия,2026-01-15,квартира,11,36.70,13886110.00,378368.12,С отделкой и без,ФЛ,Ипотека,ПАО Сбербанк России,360,2026-06-18 11:12:27.291 +0300
"9065bc46a382fdfb02d1e85a46e108b7",COSMOS STAY ADLER,Сочи,Сочи г.о.,Бизнес,ИЗВЕСТИЯ ХИЛЛ,2026-01-15,апартаменты,3,2040.00,16914800.00,490000.00,Отделка и мебель как доп. опция,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
bcbe2f39504cb084713ca0f161f31273,Кумир,Армавир,Армавир г.о.,Комфорт,АРТ ГРУПП,2026-01-15,квартира,17,44.69,5650871.00,126446.00,С отделкой,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"5338417a484eca51d14d28b59e51946f",История-3,Южный п.,Динской м.о.,Комфорт,НВМ,2026-01-15,квартира,7,51.14,8438100.00,165000.00,Под чистовую,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
de2aa2f5a366bc2350a3e192512ea3e6,Цветной бульвар,Северская ст-ца,Северский м.о.,Комфорт,Точно,2026-01-16,квартира,5,38.87,4470050.00,115000.00,"Под чистовую, отделка как доп. опция",ФЛ,Ипотека,ПАО АКБ Абсолют Банк,309,2026-06-18 11:12:27.291 +0300
"5338417a484eca51d14d28b59e51946f",История-3,Южный п.,Динской м.о.,Комфорт,НВМ,2026-01-16,квартира,5,24.72,4820400.00,195000.00,Под чистовую,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"3b768d7a3423d87ca2500e86b3aa26e8",Мореград,Анапа,Анапа м.о.,Комфорт,ССК,2026-01-16,апартаменты,5,24.10,9037500.00,375000.00,С отделкой и мебелью,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
"77436a7722b713cff3de7d8e1397b4c2",Светский лес,Сочи,Сочи г.о.,Бизнес,Точно,2026-01-16,квартира,7,85.63,37028430.00,467000.00,Без отделки,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"77436a7722b713cff3de7d8e1397b4c2",Светский лес,Сочи,Сочи г.о.,Бизнес,Точно,2026-01-16,квартира,13,47.49,21949750.00,475000.00,Без отделки,ФЛ,Ипотека,ПАО Банк ВТБ,362,2026-06-18 11:12:27.291 +0300
fc98c3a43cd1680c1cb66c1523d44f4a,Дзенпарк,Марьянская ст.,Красноармейский м.о.,Комфорт,Средастрой,2026-01-16,квартира,3,22.80,2508000.00,110000.00,"Под чистовую, отделка как доп. опция",ФЛ,Ипотека,АО Альфа-Банк,0,2026-06-18 11:12:27.291 +0300
"5338417a484eca51d14d28b59e51946f",История-3,Южный п.,Динской м.о.,Комфорт,НВМ,2026-01-19,квартира,6,50.88,8395200.00,165000.00,Под чистовую,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
bcbe2f39504cb084713ca0f161f31273,Кумир,Армавир,Армавир г.о.,Комфорт,АРТ ГРУПП,2026-01-19,квартира,8,61.07,7580000.00,124119.86,С отделкой,ФЛ,Ипотека,ПАО Сбербанк России,0,2026-06-18 11:12:27.291 +0300
bcbe2f39504cb084713ca0f161f31273,Кумир,Армавир,Армавир г.о.,Комфорт,АРТ ГРУПП,2026-01-19,нежилое помещение,1,46.81,0.00,0.00,С отделкой,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
"77436a7722b713cff3de7d8e1397b4c2",Светский лес,Сочи,Сочи г.о.,Бизнес,Точно,2026-01-19,квартира,12,28.56,14422800.00,505000.00,Без отделки,ФЛ,Ипотека,ПАО Совкомбанк,360,2026-06-18 11:12:27.291 +0300
"77436a7722b713cff3de7d8e1397b4c2",Светский лес,Сочи,Сочи г.о.,Бизнес,Точно,2026-01-19,квартира,7,43.38,19954800.00,460000.00,Без отделки,ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
fc98c3a43cd1680c1cb66c1523d44f4a,Дзенпарк,Марьянская ст.,Красноармейский м.о.,Комфорт,Средастрой,2026-01-19,квартира,2,20.10,2010000.00,100000.00,"Под чистовую, отделка как доп. опция",ФЛ,Нет,,0,2026-06-18 11:12:27.291 +0300
