Идентификатор;Номер заключения экспертизы;Дата заключения экспертизы;Результат проведенной экспертизы (положительное или отрицательное заключение экспертизы);Форма экспертизы (государственная, негосударственная);Сведения об объекте экспертиз (проектная документация и(или) результаты инженерных изысканий);Субъект РФ;Код субъекта РФ;Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация;Сведения об экспертной организации;ИНН экспертной организации;КПП экспертной организации;ОГРН экспертной организации;Место нахождения и адрес экспертной организации;Сведения о застройщике, обеспечившем подготовку проектной документации;Сведения о техническом заказчике, обеспечившем подготовку проектной документации;Сведения об индивидуальных предпринимателях и (или) юридических лицах, подготовивших проектную документацию;Сведения об использовании типовой проектной документации;Сведения о типовой проектной документации;Сведения о ТПД. Номер документа;Сведения о ТПД. Дата документа;Признак типовой проектной документации;Решения о признании проектных решений типовыми;Дата включения сведений в реестр;Вид работ;;MatchedKeywords
d0c313a1-2fa0-496f-9bb9-ea2db7da5b59;23-2-1-3-016410-2026;16.04.2026;Положительное заключение;Негосударственная;Проектная документация и результаты инженерных изысканий;Краснодарский край - 23;23;Реконструкция душевого павильона в СПА-комплекс по адресу: Краснодарский край, р-н Туапсинский, г/п. Джубгское, пгт. Джубга, ул. Кооперативная, 2, Почтовый адрес: 'Краснодарский край, Туапсинский, г/п. Джубгское, пгт. Джубга, ул. Кооперативная, 2';"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОИН-С"" (ОГРН: 1173328003760, ИНН: 3327136453, КПП: 332801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 600005, ОБЛАСТЬ ВЛАДИМИРСКАЯ,ГОРОД ВЛАДИМИР,УЛИЦА МИРА, д. ДОМ 15В, корп. ЭТАЖ 5, кв. ПОМЕЩЕНИЕ 63,64)";3327136453;332801001;1173328003760;600005, ОБЛАСТЬ ВЛАДИМИРСКАЯ,ГОРОД ВЛАДИМИР,УЛИЦА МИРА, д. ДОМ 15В, корп. ЭТАЖ 5, кв. ПОМЕЩЕНИЕ 63,64;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКУ ПАНСИОНАТ ""ДЖУБГА"" (ОГРН: 1142365000865, ИНН: 2365023113, КПП: 236501001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, Туапсинский р-н, пгт Джубга, ул Кооперативная, д 2)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЦЕНТР ПРОЕКТИРОВАНИЯ КОНСТРУКЦИЙ ""СТРОИТЕЛЬ"" (ОГРН: 1092310004610, ИНН: 2310141686, КПП: 231001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, г Краснодар, ул им. Чапаева, д 94)";Нет данных;Нет данных;;;Нет;Нет данных;16.04.2026;Реконструкция;;пансионат
de0d7de8-11db-4fe3-b1eb-8542613e3912;91-2-1-2-016234-2026;15.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"""Строительство туристическо-рекреационного комплекса по ул. Арматлукской, 2 в пгт. Коктебель, г. Феодосия, Республика Крым. 1 этап строительства. Реконструкция здания Амфитеатра"", Почтовый адрес: 'Республика Крым, г. Феодосия, пгт. Коктебель, ул. Арматлукская, 2'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАШ ТЕСТ ЭКСПЕРТИЗА"" (ОГРН: 1215000047316, ИНН: 5048058336, КПП: 772901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263)";5048058336;772901001;1215000047316;119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ДЕВЕЛОПЕРСКАЯ КОМПАНИЯ ""СТОЛИЧНАЯ КОММЕРЧЕСКАЯ ГРУППА"" (ОГРН: 1199112010460, ИНН: 9102256311, КПП: 910201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, 295014, г Симферополь, Евпаторийское ш, д. 8 литера А, каб. 513)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЛАЙН"" (ОГРН: 1149102054331, ИНН: 9102031438, КПП: 910201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, 295034, город Симферополь, Киевская ул., д. 122, кв. 23)";Нет данных;Нет данных;;;Нет;Нет данных;15.04.2026;Реконструкция;;лечебно-оздоровительный
17330109-ebe4-467f-a634-f532d4c9dda2;23-1-1-3-015958-2026;14.04.2026;Положительное заключение;Государственная;Проектная документация и результаты инженерных изысканий;Краснодарский край - 23;23;Блочно-модульная котельная, расположенная по адресу: Краснодарский край, Тимашевский район, ст-ца Медведовская, ул. Ленинградская, д. 80 Г, Почтовый адрес: 'Российская Федерация, Краснодарский край, Тимашевский р-н., ст-ца.Медведовская, ул.Ленинградская, 80 Г';"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ КРАСНОДАРСКОЙ КРАЕВОЙ ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ ПРОЕКТОВ ТЕРРИТОРИАЛЬНОГО ПЛАНИРОВАНИЯ, ПРОЕКТОВ СТРОИТЕЛЬСТВА И ИНЖЕНЕРНЫХ ИЗЫСКАНИЙ"" (ОГРН: 1022301214418, ИНН: 2308009183, КПП: 230801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 350000, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. СЕВЕРНАЯ, д. Д.324, корп. ЛИТЕР К)";2308009183;230801001;1022301214418;350000, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. СЕВЕРНАЯ, д. Д.324, корп. ЛИТЕР К;АДМИНИСТРАЦИЯ МЕДВЕДОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ТИМАШЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА КРАСНОДАРСКОГО КРАЯ (ОГРН: 1052329691655, ИНН: 2353021506, КПП: 235301001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, Тимашевский район, ст-ца Медведовская, ул. Ленина, 54);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТНО-ОЦЕНОЧНОЕ БЮРО"" (ОГРН: 1162375031169, ИНН: 2310193902, КПП: 230801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, г. Краснодар, ул. им. Бабушкина, 289, помещение 13)";Нет данных;Нет данных;;;Нет;Нет данных;14.04.2026;Строительство;;гостиничный
eed3689a-7aef-4e1d-a169-5bfcbddd5f12;04-2-1-3-015740-2026;14.04.2026;Положительное заключение;Негосударственная;Проектная документация и результаты инженерных изысканий;Республика Алтай - 04;4;Перевод дизельной котельной Управления Росгвардии по Республике Алтай, расположенной по адресу: Республика Алтай, с. Майма, ул. Энергетиков, дом 3, на газ, Почтовый адрес: 'Республика Алтай, с. Майма, ул. Энергетиков, д. 3';"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОГРАДЪ"" (ОГРН: 1072222012158, ИНН: 2222068966, КПП: 222201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 656058, КРАЙ АЛТАЙСКИЙ,Г БАРНАУЛ,ПР СЕВЕРНЫЙ ВЛАСИХИНСКИЙ, д. 60, корп. НЕТ, кв. 95)";2222068966;222201001;1072222012158;656058, КРАЙ АЛТАЙСКИЙ,Г БАРНАУЛ,ПР СЕВЕРНЫЙ ВЛАСИХИНСКИЙ, д. 60, корп. НЕТ, кв. 95;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО РЕСПУБЛИКЕ АЛТАЙ (ОГРН: 1160400053890, ИНН: 0400001577, КПП: 040001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Республика Алтай, Майминский р-н, село Майма, ул Энергетиков, д 3);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБГАЗСТРОЙ"" (ОГРН: 1102225002989, ИНН: 2225108342, КПП: 222401001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Алтайский край, г Барнаул, ул Аванесова, д 134/1)";Нет данных;Нет данных;;;Нет;Нет данных;14.04.2026;Реконструкция;;гостиничный
c4b6636a-d38f-46b4-bfa3-4b190aa583f7;91-2-1-2-015568-2026;13.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"Гостиничный комплекс, расположенный в Республике Крым, Сакском районе, на территории Молочненского сельского совета"", Почтовый адрес: 'Россия, Республика Крым, Сакский район, на территории Молочненского сельского совета'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙЭКСПЕРТ"" (ОГРН: 1122468053575, ИНН: 2460241023, КПП: 246001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 660075, Красноярский край, Г.О. ГОРОД КРАСНОЯРСК, Г КРАСНОЯРСК, УЛ ЖЕЛЕЗНОДОРОЖНИКОВ, д. Д. 17, кв. ОФИС 510)";2460241023;246001001;1122468053575;660075, Красноярский край, Г.О. ГОРОД КРАСНОЯРСК, Г КРАСНОЯРСК, УЛ ЖЕЛЕЗНОДОРОЖНИКОВ, д. Д. 17, кв. ОФИС 510;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ"" (ОГРН: 1072468020173, ИНН: 2465202740, КПП: 246501001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Красноярский край, Советский, город Красноярск, улица Батурина, дом 36А, помещение 28)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ"" (ОГРН: 1072468020173, ИНН: 2465202740, КПП: 246501001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Красноярский край, Советский, город Красноярск, улица Батурина, дом 36А, помещение 28)";Нет данных;Нет данных;;;Нет;Нет данных;13.04.2026;Строительство;;гостиничный
5f156808-b0ea-40ab-854e-eed74fc7d15f;04-2-1-2-015435-2026;10.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Алтай - 04;4;Строительство гостиничного комплекса расположенного в Республике Алтай по адресу: Республика Алтай, Турочакский район, село Кебезень. Зал торжеств, Почтовый адрес: 'Россия, Республика Алтай, Турочакский район, с. Кебезень';"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР СТРОИТЕЛЬНЫХ ЭКСПЕРТИЗ"" (ОГРН: 1217800152680, ИНН: 7838097441, КПП: 780601001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 195112, Г.САНКТ-ПЕТЕРБУРГ, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ МАЛАЯ ОХТА, ПР-КТ МАЛООХТИНСКИЙ, д. Д. 68, корп. ЛИТЕРА А, кв. ПОМЕЩ. 43-Н, №17)";7838097441;780601001;1217800152680;195112, Г.САНКТ-ПЕТЕРБУРГ, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ МАЛАЯ ОХТА, ПР-КТ МАЛООХТИНСКИЙ, д. Д. 68, корп. ЛИТЕРА А, кв. ПОМЕЩ. 43-Н, №17;Нет данных;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕБЕЗЕНЬ РЕЗОРТ"" (ОГРН: 1230400000830, ИНН: 0400021911, КПП: 040001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Республика Алтай, Турочакский район, с.Кебезень, Береговая, 14Б)";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИСМА"" (ОГРН: 1040400665458, ИНН: 0408009384, КПП: 041101001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Республика Алтай, Горно-Алтайск, ул. Чорос-Гуркина Г.И., 39/8, офис 312)";Нет данных;Нет данных;;;Нет;Нет данных;10.04.2026;Строительство;;гостиничный
6f23d6e8-a4ef-40fc-877c-99d1ba64a955;23-1-1-3-015153-2026;09.04.2026;Положительное заключение;Государственная;Проектная документация и результаты инженерных изысканий;Краснодарский край - 23;23;Физкультурно-оздоровительный комплекс на территории 101 Га в Прикубанском внутригородском округе г. Краснодара, Почтовый адрес: 'Российская Федерация, Краснодарский край, г.Краснодар';"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ КРАСНОДАРСКОЙ КРАЕВОЙ ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ ПРОЕКТОВ ТЕРРИТОРИАЛЬНОГО ПЛАНИРОВАНИЯ, ПРОЕКТОВ СТРОИТЕЛЬСТВА И ИНЖЕНЕРНЫХ ИЗЫСКАНИЙ"" (ОГРН: 1022301214418, ИНН: 2308009183, КПП: 230801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 350000, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. СЕВЕРНАЯ, д. Д.324, корп. ЛИТЕР К)";2308009183;230801001;1022301214418;350000, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. СЕВЕРНАЯ, д. Д.324, корп. ЛИТЕР К;"Общество с ограниченной ответственностью Специализированный застройщик ""КубаньАльянсПроект"" (ОГРН: 1222300046319, ИНН: 2312312810, КПП: 231201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, г. Краснодар, ул. им. Фадеева (тер. Пашковский жилой массив), 214)";;"Акционерное общество Территориальный институт по жилищно-гражданскому проектированию «Краснодаргражданпроект» (ОГРН: 1022301172178, ИНН: 2310011849, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, г. Краснодар, ул. Мира, 58)<%>Общество с ограниченной ответственностью ""ДорСтройИнжиниринг"" (ОГРН: 1082312011209, ИНН: 2312155211, КПП: 231201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, г. Краснодар, ул. Сормовская, 204)";Нет данных;Нет данных;;;Нет;Нет данных;09.04.2026;Строительство;;лечебно-оздоровительный
ee3f3aff-4811-419c-865c-a86b4cecd369;91-1-1-2-014911-2026;08.04.2026;Положительное заключение;Государственная;Проектная документация;Республика Крым - 91;91;"""Капитальный ремонт лодочной станции , лит. К, расположенной по адресу: Республика Крым, г. Ялта, пгт. Ореанда, д.12. Кадастровый номер 90:25:050701:856"", Почтовый адрес: 'Россия, Республика Крым, г. Ялта, пгт. Ореанда, д. 12'";"ФЕДЕРАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ"" (ОГРН: 1027700133911, ИНН: 7707082071, КПП: 770601001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119049, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ БОЛЬШАЯ ЯКИМАНКА, д. Д. 42, корп. СТР. 1-2)";7707082071;770601001;1027700133911;119049, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ БОЛЬШАЯ ЯКИМАНКА, д. Д. 42, корп. СТР. 1-2;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""НИЖНЯЯ ОРЕАНДА"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ (ОГРН: 1149102054221, ИНН: 9103006321, КПП: 910301001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Республика Крым, Г ЯЛТА, ПГТ ОРЕАНДА, ЗД. 12/СТР. 7)";;ИП БЫЗИН АЛЕКСАНДР НИКОЛАЕВИЧ (ОГРНИП: 317910200012005, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 298600, Россия, Республика Крым, г.Ялта, ул.Маркса К., 15А);Нет данных;Нет данных;;;Нет;Нет данных;08.04.2026;Капитальный ремонт;;санаторий
d95a3bba-6320-4404-b622-691537eff108;91-2-1-2-014025-2026;02.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"""Гостиница"", расположенная по адресу: Республика Крым, г. Саки, земельный участок с кадастровым номером 90:21:010105:1517, Почтовый адрес: 'Республика Крым, г. Саки, район ул. Морская'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАШ ТЕСТ ЭКСПЕРТИЗА"" (ОГРН: 1215000047316, ИНН: 5048058336, КПП: 772901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263)";5048058336;772901001;1215000047316;119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМЕЙНЫЕ КУРОРТЫ"" (ОГРН: 1219100009303, ИНН: 9102274215, КПП: 911001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, Г.О. САКИ, Г САКИ, УЛ КУРОРТНАЯ, Д. 101)";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИЧЕСКИЙ ЗАКАЗЧИК-ЮГ"" (ОГРН: 1259100006571, ИНН: 9102304822, КПП: 910201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, 295022, г Симферополь, ул Бородина, зд. 18д, офис 307)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ТЕРРИТОРИАЛЬНЫЙ ИНСТИТУТ ПО ЖИЛИЩНО-ГРАЖДАНСКОМУ ПРОЕКТИРОВАНИЮ ""КРАСНОДАРГРАЖДАНПРОЕКТ"" (ОГРН: 1022301172178, ИНН: 2310011849, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, 350063, город Краснодар, ул. Мира, д. 58, ком. 15)";Нет данных;Нет данных;;;Нет;Нет данных;02.04.2026;Строительство;;гостиничный
ab3467f8-b494-45e4-a3d7-177b686a64fe;23-2-1-2-013895-2026;02.04.2026;Положительное заключение;Негосударственная;Проектная документация;Краснодарский край - 23;23;"Гостиничный комплекс ""Гранд Отель Агой"" категории 5*, расположенный по адресу: Краснодарский край, Туапсинский район, с. Агой, ул. Центральная, 39, Почтовый адрес: 'Российская Федерация, Краснодарский край, м.о. Туапсинский, с Агой (Код ОКТМО: 03555000102) , Краснодарский край, МО Туапсинский район, МО Небугское сельское поселение, село Агой, ул. Центральная, земельный участок 39'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОПЭКСПЕРТПРОЕКТ"" (ОГРН: 1212300020283, ИНН: 2312300236, КПП: 231201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 350059, КРАЙ КРАСНОДАРСКИЙ,Г. Краснодар,УЛ. УРАЛЬСКАЯ, д. Д. 79/1, кв. ПОМЕЩ. 8)";2312300236;231201001;1212300020283;350059, КРАЙ КРАСНОДАРСКИЙ,Г. Краснодар,УЛ. УРАЛЬСКАЯ, д. Д. 79/1, кв. ПОМЕЩ. 8;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЮГ"" (ОГРН: 1255400009369, ИНН: 5404958260, КПП: 540601001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Новосибирская область, Г.О. ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, ПР-КТ ДИМИТРОВА, ЗД. 4/1, ПОМЕЩ. 10В)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ПРОЕКТНЫХ РЕШЕНИЙ"" (ОГРН: 1242300058582, ИНН: 2367039944, КПП: 236701001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, г Сочи, снт Черноморец-2 (с Высокое), д 44)";Нет данных;Нет данных;;;Нет;Нет данных;02.04.2026;Строительство;;гостиничный
