Идентификатор;Номер заключения экспертизы;Дата заключения экспертизы;Результат проведенной экспертизы (положительное или отрицательное заключение экспертизы);Форма экспертизы (государственная, негосударственная);Сведения об объекте экспертиз (проектная документация и(или) результаты инженерных изысканий);Субъект РФ;Код субъекта РФ;Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация;Сведения об экспертной организации;ИНН экспертной организации;КПП экспертной организации;ОГРН экспертной организации;Место нахождения и адрес экспертной организации;Сведения о застройщике, обеспечившем подготовку проектной документации;Сведения о техническом заказчике, обеспечившем подготовку проектной документации;Сведения об индивидуальных предпринимателях и (или) юридических лицах, подготовивших проектную документацию;Сведения об использовании типовой проектной документации;Сведения о типовой проектной документации;Сведения о ТПД. Номер документа;Сведения о ТПД. Дата документа;Признак типовой проектной документации;Решения о признании проектных решений типовыми;Дата включения сведений в реестр;Вид работ;;MatchedKeywords
c4b6636a-d38f-46b4-bfa3-4b190aa583f7;91-2-1-2-015568-2026;13.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"Гостиничный комплекс, расположенный в Республике Крым, Сакском районе, на территории Молочненского сельского совета"", Почтовый адрес: 'Россия, Республика Крым, Сакский район, на территории Молочненского сельского совета'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙЭКСПЕРТ"" (ОГРН: 1122468053575, ИНН: 2460241023, КПП: 246001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 660075, Красноярский край, Г.О. ГОРОД КРАСНОЯРСК, Г КРАСНОЯРСК, УЛ ЖЕЛЕЗНОДОРОЖНИКОВ, д. Д. 17, кв. ОФИС 510)";2460241023;246001001;1122468053575;660075, Красноярский край, Г.О. ГОРОД КРАСНОЯРСК, Г КРАСНОЯРСК, УЛ ЖЕЛЕЗНОДОРОЖНИКОВ, д. Д. 17, кв. ОФИС 510;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ"" (ОГРН: 1072468020173, ИНН: 2465202740, КПП: 246501001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Красноярский край, Советский, город Красноярск, улица Батурина, дом 36А, помещение 28)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ"" (ОГРН: 1072468020173, ИНН: 2465202740, КПП: 246501001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Красноярский край, Советский, город Красноярск, улица Батурина, дом 36А, помещение 28)";Нет данных;Нет данных;;;Нет;Нет данных;13.04.2026;Строительство;;гостиничный
ee3f3aff-4811-419c-865c-a86b4cecd369;91-1-1-2-014911-2026;08.04.2026;Положительное заключение;Государственная;Проектная документация;Республика Крым - 91;91;"""Капитальный ремонт лодочной станции , лит. К, расположенной по адресу: Республика Крым, г. Ялта, пгт. Ореанда, д.12. Кадастровый номер 90:25:050701:856"", Почтовый адрес: 'Россия, Республика Крым, г. Ялта, пгт. Ореанда, д. 12'";"ФЕДЕРАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ"" (ОГРН: 1027700133911, ИНН: 7707082071, КПП: 770601001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119049, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ БОЛЬШАЯ ЯКИМАНКА, д. Д. 42, корп. СТР. 1-2)";7707082071;770601001;1027700133911;119049, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ БОЛЬШАЯ ЯКИМАНКА, д. Д. 42, корп. СТР. 1-2;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""НИЖНЯЯ ОРЕАНДА"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ (ОГРН: 1149102054221, ИНН: 9103006321, КПП: 910301001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Республика Крым, Г ЯЛТА, ПГТ ОРЕАНДА, ЗД. 12/СТР. 7)";;ИП БЫЗИН АЛЕКСАНДР НИКОЛАЕВИЧ (ОГРНИП: 317910200012005, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 298600, Россия, Республика Крым, г.Ялта, ул.Маркса К., 15А);Нет данных;Нет данных;;;Нет;Нет данных;08.04.2026;Капитальный ремонт;;санаторий
d95a3bba-6320-4404-b622-691537eff108;91-2-1-2-014025-2026;02.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"""Гостиница"", расположенная по адресу: Республика Крым, г. Саки, земельный участок с кадастровым номером 90:21:010105:1517, Почтовый адрес: 'Республика Крым, г. Саки, район ул. Морская'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАШ ТЕСТ ЭКСПЕРТИЗА"" (ОГРН: 1215000047316, ИНН: 5048058336, КПП: 772901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263)";5048058336;772901001;1215000047316;119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМЕЙНЫЕ КУРОРТЫ"" (ОГРН: 1219100009303, ИНН: 9102274215, КПП: 911001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, Г.О. САКИ, Г САКИ, УЛ КУРОРТНАЯ, Д. 101)";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИЧЕСКИЙ ЗАКАЗЧИК-ЮГ"" (ОГРН: 1259100006571, ИНН: 9102304822, КПП: 910201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, 295022, г Симферополь, ул Бородина, зд. 18д, офис 307)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ТЕРРИТОРИАЛЬНЫЙ ИНСТИТУТ ПО ЖИЛИЩНО-ГРАЖДАНСКОМУ ПРОЕКТИРОВАНИЮ ""КРАСНОДАРГРАЖДАНПРОЕКТ"" (ОГРН: 1022301172178, ИНН: 2310011849, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, 350063, город Краснодар, ул. Мира, д. 58, ком. 15)";Нет данных;Нет данных;;;Нет;Нет данных;02.04.2026;Строительство;;гостиница
ab3467f8-b494-45e4-a3d7-177b686a64fe;23-2-1-2-013895-2026;02.04.2026;Положительное заключение;Негосударственная;Проектная документация;Краснодарский край - 23;23;"Гостиничный комплекс ""Гранд Отель Агой"" категории 5*, расположенный по адресу: Краснодарский край, Туапсинский район, с. Агой, ул. Центральная, 39, Почтовый адрес: 'Российская Федерация, Краснодарский край, м.о. Туапсинский, с Агой (Код ОКТМО: 03555000102) , Краснодарский край, МО Туапсинский район, МО Небугское сельское поселение, село Агой, ул. Центральная, земельный участок 39'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОПЭКСПЕРТПРОЕКТ"" (ОГРН: 1212300020283, ИНН: 2312300236, КПП: 231201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 350059, КРАЙ КРАСНОДАРСКИЙ,Г. Краснодар,УЛ. УРАЛЬСКАЯ, д. Д. 79/1, кв. ПОМЕЩ. 8)";2312300236;231201001;1212300020283;350059, КРАЙ КРАСНОДАРСКИЙ,Г. Краснодар,УЛ. УРАЛЬСКАЯ, д. Д. 79/1, кв. ПОМЕЩ. 8;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЮГ"" (ОГРН: 1255400009369, ИНН: 5404958260, КПП: 540601001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Новосибирская область, Г.О. ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, ПР-КТ ДИМИТРОВА, ЗД. 4/1, ПОМЕЩ. 10В)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ПРОЕКТНЫХ РЕШЕНИЙ"" (ОГРН: 1242300058582, ИНН: 2367039944, КПП: 236701001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, г Сочи, снт Черноморец-2 (с Высокое), д 44)";Нет данных;Нет данных;;;Нет;Нет данных;02.04.2026;Строительство;;гостиничный
52f06609-db78-457f-b788-ad16f93dd63e;91-2-1-2-013863-2026;02.04.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"""Гостиница"", расположенная по адресу: Республика Крым, г. Саки, земельный участок с кадастровым номером 90:21:010105:1517, Почтовый адрес: 'Республика Крым, г. Саки, район ул. Морская'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАШ ТЕСТ ЭКСПЕРТИЗА"" (ОГРН: 1215000047316, ИНН: 5048058336, КПП: 772901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263)";5048058336;772901001;1215000047316;119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМЕЙНЫЕ КУРОРТЫ"" (ОГРН: 1219100009303, ИНН: 9102274215, КПП: 911001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, Г.О. САКИ, Г САКИ, УЛ КУРОРТНАЯ, Д. 101)";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИЧЕСКИЙ ЗАКАЗЧИК-ЮГ"" (ОГРН: 1259100006571, ИНН: 9102304822, КПП: 910201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, 295022, г Симферополь, ул Бородина, зд. 18д, офис 307)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ТЕРРИТОРИАЛЬНЫЙ ИНСТИТУТ ПО ЖИЛИЩНО-ГРАЖДАНСКОМУ ПРОЕКТИРОВАНИЮ ""КРАСНОДАРГРАЖДАНПРОЕКТ"" (ОГРН: 1022301172178, ИНН: 2310011849, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, 350063, город Краснодар, ул. Мира, д. 58, ком. 15)";Нет данных;Нет данных;;;Нет;Нет данных;02.04.2026;Строительство;;гостиница
e92cffa5-398e-4c9a-8fb4-d78714f48e6a;23-2-1-2-012957-2026;30.03.2026;Положительное заключение;Негосударственная;Проектная документация;Краснодарский край - 23;23;Гостиничный комплекс, расположенный по ул. Ленина в г. Сочи. Корректировка 3, Почтовый адрес: 'Краснодарский край, городской округ город-курорт Сочи, город Сочи, Адлерский внутригородской район, ул. Ленина, з/у 280А';"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАШ ТЕСТ ЭКСПЕРТИЗА"" (ОГРН: 1215000047316, ИНН: 5048058336, КПП: 772901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263)";5048058336;772901001;1215000047316;119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗЕЛЕНАЯ ГОРКА"" (ОГРН: 1022302719713, ИНН: 2317024364, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, Г КРАСНОДАР, УЛ КОМСОМОЛЬСКАЯ, Д. 15, ОФИС 225)";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОТЕХЗАКАЗ"" (ОГРН: 1132312008652, ИНН: 2312205776, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, Г КРАСНОДАР, УЛ КОМСОМОЛЬСКАЯ, Д. 15, ОФИС 169)";ИП ЛОГВИНОВ АНДРЕЙ ВИКТОРОВИЧ (ОГРНИП: 316910200155305, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 298612, Республика Крым, г.Ялта, Цветочная, 4, 45);Нет данных;Нет данных;;;Нет;Нет данных;30.03.2026;Строительство;;гостиничный
caf15ca3-c875-4caf-9124-4154fdfacb4e;23-1-1-2-011967-2026;25.03.2026;Положительное заключение;Государственная;Проектная документация;Краснодарский край - 23;23;"Капитальный ремонт благоустройства территории в части, касающейся подпорных стен, лотков и подъездной дороги западнее спортивной площадки (терренкур) в государственном казённом учреждении ""Санаторий ""Победа"" ФТС России"" (корректировка), Почтовый адрес: 'Россия, Краснодарский край, г.Сочи, р-н.Хостинский, ул.Новороссийское шоссе, 2'";"ФЕДЕРАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ"" (ОГРН: 1027700133911, ИНН: 7707082071, КПП: 770601001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119049, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ БОЛЬШАЯ ЯКИМАНКА, д. Д. 42, корп. СТР. 1-2)";7707082071;770601001;1027700133911;119049, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ БОЛЬШАЯ ЯКИМАНКА, д. Д. 42, корп. СТР. 1-2;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ПОБЕДА"" ФТС РОССИИ"" (ОГРН: 1022302833520, ИНН: 2319027603, КПП: 231901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, Г СОЧИ, УЛ НОВОРОССИЙСКОЕ ШОССЕ (ХОСТИНСКИЙ Р-Н), Д. 2)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАД 23"" (ОГРН: 1092366000320, ИНН: 2320171320, КПП: 232001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, Г СОЧИ, УЛ 60 ЛЕТ ВЛКСМ, Д. 4, КВ. 77)";Нет данных;Нет данных;;;Нет;Нет данных;25.03.2026;Капитальный ремонт;;санаторий
9eea80a9-3103-4343-b88d-96f1746f8759;23-2-1-3-011487-2026;23.03.2026;Положительное заключение;Негосударственная;Проектная документация и результаты инженерных изысканий;Краснодарский край - 23;23;"Строительство гостиничного комплекса ""ГРИНВИЧ"" по адресу: Краснодарский край, р-н Анапский, г. Анапа, пр-кт Пионерский, Почтовый адрес: 'Россия, Краснодарский край, город-курорт Анапа, улица Железнодорожная, з/у 16'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОДАРСКАЯ МЕЖРЕГИОНАЛЬНАЯ НЕГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА"" (ОГРН: 1132310006179, ИНН: 2310170415, КПП: 230801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 350020, КРАСНОДАРСКИЙ КРАЙ, Г.О. ГОРОД КРАСНОДАР, Г КРАСНОДАР, УЛ ГАРАЖНАЯ, д. Д. 48, кв. ОФИС 8)";2310170415;230801001;1132310006179;350020, КРАСНОДАРСКИЙ КРАЙ, Г.О. ГОРОД КРАСНОДАР, Г КРАСНОДАР, УЛ ГАРАЖНАЯ, д. Д. 48, кв. ОФИС 8;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСМ ОТЕЛЬ"" (ОГРН: 1242300050640, ИНН: 2301114358, КПП: 230101001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, г.-к. Анапа, ул. Шевченко, д. 1А, оф. 10)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЭКОПРОЕКТ"" (ОГРН: 1072308001314, ИНН: 2308127194, КПП: 230801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, г. Краснодар, ул. им. Гоголя, д. 11)<%>ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУБСТРОЙ"" (ОГРН: 1182375115450, ИНН: 2301098272, КПП: 230101001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, Анапский район, город Анапа, 12-й мкр, д. 4, кв. 45)<%>ИП Лагуткина Елена Александровна (ОГРНИП: 311235221500018, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 353500, Россия, Краснодарский край, Темрюкский район, г. Темрюк)";Нет данных;Нет данных;;;Нет;Нет данных;23.03.2026;Строительство;;гостинично
3ab456f8-5099-4fc2-9b92-88ce98966d18;23-1-1-2-011479-2026;23.03.2026;Положительное заключение;Государственная;Проектная документация;Краснодарский край - 23;23;"Здание пристройки с бассейнами санаторного комплекса под лечебно-оздоровительный комплекс (ЛОК) ФКУЗ ""Санаторий ""Салют"" МВД России, г. Сочи, ул. Санаторная 49, Почтовый адрес: 'Россия, Краснодарский край, Сочи, Санаторная, 49'";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННОЙ ЭКСПЕРТИЗЫ В ОТНОШЕНИИ ОБЪЕКТОВ ОБОРОНЫ И БЕЗОПАСНОСТИ, НАХОДЯЩИХСЯ В ВЕДЕНИИ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ"" (ОГРН: 5147746171964, ИНН: 7722857460, КПП: 771801001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 107150, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БОГОРОДСКОЕ, УЛ ИВАНТЕЕВСКАЯ, д. Д. 5, корп. СТР. 41)";7722857460;771801001;5147746171964;107150, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БОГОРОДСКОЕ, УЛ ИВАНТЕЕВСКАЯ, д. Д. 5, корп. СТР. 41;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ ""САЛЮТ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ"" (ОГРН: 1022302942727, ИНН: 2320036296, КПП: 232001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, Сочи, Санаторная, 49)";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮЖНАЯ АРХИТЕКТУРНАЯ КОМПАНИЯ +"" (ОГРН: 1142366007684, ИНН: 2320221877, КПП: 232001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Краснодарский край, Сочи, Советская, 40)<%>ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСАМ"" (ОГРН: 1202000002027, ИНН: 2007007150, КПП: 200701001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Россия, Чеченская Республика, Надтеречный, Братское, Мира, 22)";Нет данных;Нет данных;;;Нет;Нет данных;23.03.2026;Реконструкция;;санаторий
7898f36a-0a0d-409c-8a33-11c1bcf79a8a;91-2-1-2-010935-2026;19.03.2026;Положительное заключение;Негосударственная;Проектная документация;Республика Крым - 91;91;"""Гостиница"", расположенная по адресу: Республика Крым, г. Саки, земельный участок с кадастровым номером 90:21:010105:1517, Почтовый адрес: 'Республика Крым, г. Саки, район ул. Морская'";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАШ ТЕСТ ЭКСПЕРТИЗА"" (ОГРН: 1215000047316, ИНН: 5048058336, КПП: 772901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: 119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263)";5048058336;772901001;1215000047316;119415, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, д. Д. 41, корп. СТР. 1, кв. ПОМЕЩ. 263;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМЕЙНЫЕ КУРОРТЫ"" (ОГРН: 1219100009303, ИНН: 9102274215, КПП: 911001001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, Г.О. САКИ, Г САКИ, УЛ КУРОРТНАЯ, Д. 101)";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИЧЕСКИЙ ЗАКАЗЧИК-ЮГ"" (ОГРН: 1259100006571, ИНН: 9102304822, КПП: 910201001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Республика Крым, 295022, г Симферополь, ул Бородина, зд. 18д, офис 307)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ТЕРРИТОРИАЛЬНЫЙ ИНСТИТУТ ПО ЖИЛИЩНО-ГРАЖДАНСКОМУ ПРОЕКТИРОВАНИЮ ""КРАСНОДАРГРАЖДАНПРОЕКТ"" (ОГРН: 1022301172178, ИНН: 2310011849, КПП: 230901001, МЕСТО НАХОЖДЕНИЯ и АДРЕС: Краснодарский край, 350063, город Краснодар, ул. Мира, д. 58, ком. 15)";Нет данных;Нет данных;;;Нет;Нет данных;19.03.2026;Строительство;;гостиница
